id. Trans;prod 1;prod 2;prod 3;prod 4;prod 5;prod 6;prod 7;prod 8
1;14;2;10;4;10;22;22;21
2;16;8;22;19;12;18;7;3
3;13;16;23;7;21;3;1;12
4;8;8;10;22;22;7;18;4
5;11;11;16;8;7;9;8;9
6;10;22;16;4;13;21;1;4
7;21;7;11;16;2;4;15;23
8;17;6;21;12;16;21;9;6
9;16;10;15;14;2;14;19;11
10;10;2;14;19;7;3;19;3
11;7;9;7;14;6;4;7;17
12;21;22;15;6;10;4;6;6
13;18;7;4;22;7;9;6;7
14;19;6;23;14;22;22;2;7
15;23;14;16;2;12;14;7;16
16;9;7;19;17;6;6;21;10
17;5;16;1;4;16;12;21;3
18;5;6;12;5;5;14;18;16
19;16;4;14;17;19;12;1;1
20;9;14;10;23;6;23;14;11
21;13;4;2;14;23;17;4;7
22;21;2;3;18;7;4;6;19
23;14;5;4;19;3;1;4;4
24;9;15;2;22;7;9;18;9
25;8;4;22;15;7;17;10;17
26;10;21;16;23;2;15;5;14
27;16;3;3;21;1;13;7;11
28;6;23;8;8;1;5;14;15
29;12;17;8;5;10;21;3;2
30;12;12;12;14;21;10;19;13
31;2;16;11;15;5;16;21;23
32;16;14;7;8;16;5;22;7
33;9;5;12;9;23;6;5;14
34;7;21;22;10;17;1;3;19
35;6;1;14;6;23;6;14;2
36;3;7;5;8;12;4;14;8
37;7;21;7;17;14;6;12;8
38;7;19;7;14;21;7;4;21
39;15;11;6;14;9;19;11;17
40;8;2;19;17;19;1;10;21
41;23;7;11;15;23;12;10;21
42;17;19;17;9;14;5;7;2
43;19;11;19;14;14;7;14;17
44;9;1;12;11;15;16;21;18
45;21;11;8;21;6;2;18;14
46;14;4;12;2;14;1;11;14
47;3;17;21;14;22;2;10;21
48;22;8;5;16;2;14;7;14
49;5;5;21;10;1;4;19;18
50;14;7;22;21;13;3;13;11
51;6;13;6;10;23;8;5;18
52;9;13;1;3;3;22;19;22
53;7;2;7;12;4;2;12;1
54;18;7;7;5;22;1;10;12
55;14;8;3;8;3;22;8;14
56;7;21;6;5;16;7;16;14
57;22;16;9;5;19;13;11;17
58;17;5;18;14;21;9;1;6
59;12;15;14;12;18;13;16;7
60;5;5;16;23;13;19;15;14
61;9;23;16;22;4;3;2;12
62;2;22;5;12;22;22;13;15
63;10;7;18;14;17;7;18;7
64;4;5;4;7;10;1;7;23
65;7;18;17;14;14;22;21;1
66;21;18;12;7;16;11;21;7
67;2;22;7;12;8;7;6;14
68;4;12;3;16;23;21;21;13
69;16;12;9;16;8;6;1;10
70;14;3;8;5;5;7;14;14
71;17;7;11;17;12;21;21;10
72;22;21;8;14;6;9;14;2
73;5;17;12;11;9;14;14;6
74;5;19;2;22;13;1;6;6
75;13;7;18;13;15;12;23;12
76;12;19;9;23;18;13;19;14
77;10;14;15;3;14;6;2;19
78;5;21;22;21;10;15;15;19
79;7;7;12;3;11;4;2;23
80;14;22;15;7;13;18;19;1
81;4;13;4;4;13;18;23;11
82;1;4;21;7;13;18;5;16
83;7;3;12;13;22;7;18;23
84;1;4;19;14;6;10;8;8
85;14;16;5;11;8;11;18;7
86;18;5;5;7;23;5;10;10
87;7;9;7;1;3;21;23;19
88;4;19;17;15;23;9;22;5
89;21;2;14;23;12;7;14;3
90;13;14;9;15;15;12;14;8
91;23;18;7;14;21;21;18;6
92;6;11;22;6;19;12;17;4
93;13;4;11;7;21;11;15;19
94;7;1;17;11;1;15;21;10
95;14;22;7;3;10;9;7;1
96;1;19;1;6;16;8;22;19
