id. Trans;prod 1;prod 2;prod 3;prod 4;prod 5;prod 6;prod 7;prod 8
1;20;2;10;4;10;6;6;21
2;16;8;6;19;12;18;7;3
3;13;16;13;7;21;3;1;12
4;8;8;10;6;6;7;18;4
5;11;11;16;8;20;9;8;9
6;10;6;16;4;13;21;1;4
7;21;20;11;16;2;4;15;13
8;17;6;25;12;16;21;9;6
9;16;10;15;20;2;20;19;11
10;10;2;20;19;7;3;19;3
11;7;9;20;20;6;4;7;17
12;25;6;15;6;10;4;6;6
13;18;7;4;6;7;9;6;7
14;19;6;13;20;6;6;2;20
15;13;20;16;2;12;20;7;16
16;9;20;19;17;6;6;21;10
17;5;16;1;4;16;12;21;3
18;5;6;12;5;5;20;18;16
19;16;4;14;17;19;12;1;1
20;9;14;10;13;6;13;20;11
21;13;4;2;14;13;17;4;20
22;21;2;3;18;20;4;6;19
23;20;5;4;19;3;1;4;4
24;9;15;2;6;7;9;18;9
25;8;4;6;15;20;17;10;17
26;10;25;16;13;2;15;5;20
27;16;3;3;25;1;13;7;11
28;6;13;8;8;1;5;14;15
29;12;17;8;5;10;25;3;2
30;12;12;12;20;25;10;19;13
31;2;16;11;15;5;16;25;13
32;16;20;20;8;16;5;6;7
33;9;5;12;9;13;6;5;20
34;7;25;6;10;17;1;3;19
35;6;1;14;6;13;6;20;2
36;3;20;5;8;12;4;14;8
37;7;25;20;17;14;6;12;8
38;20;19;20;20;25;20;4;21
39;15;11;6;14;9;19;11;17
40;8;2;19;17;19;1;10;21
41;13;7;11;15;13;12;10;21
42;17;19;17;9;20;5;7;2
43;19;11;19;20;14;20;14;17
44;9;1;12;11;15;16;21;18
45;21;11;8;25;6;2;18;20
46;14;4;12;2;14;1;11;14
47;3;17;21;20;6;2;10;21
48;6;8;5;16;2;20;7;20
49;5;5;21;10;1;4;19;18
50;14;20;6;25;13;3;13;11
51;6;13;6;10;13;8;5;18
52;9;13;1;3;3;6;19;6
53;7;2;20;12;4;2;12;1
54;18;7;20;5;6;1;10;12
55;14;8;3;8;3;6;8;20
56;7;21;6;5;16;7;16;14
57;6;16;9;5;19;13;11;17
58;17;5;18;14;21;9;1;6
59;12;15;20;12;18;13;16;20
60;5;5;16;13;13;19;15;14
61;9;13;16;6;4;3;2;12
62;2;6;5;12;6;6;13;15
63;10;20;18;20;17;20;18;7
64;4;5;4;20;10;1;20;13
65;20;18;17;14;20;6;21;1
66;21;18;12;7;16;11;21;20
67;2;6;7;12;8;20;6;14
68;4;12;3;16;13;21;21;13
69;16;12;9;16;8;6;1;10
70;20;3;8;5;5;20;20;14
71;17;20;11;17;12;25;25;10
72;6;21;8;14;6;9;20;2
73;5;17;12;11;9;20;14;6
74;5;19;2;6;13;1;6;6
75;13;20;18;13;15;12;13;12
76;12;19;9;13;18;13;19;14
77;10;20;15;3;20;6;2;19
78;5;25;6;25;10;15;15;19
79;7;20;12;3;11;4;2;13
80;14;6;15;20;13;18;19;1
81;4;13;4;4;13;18;13;11
82;1;4;25;7;13;18;5;16
83;20;3;12;13;6;7;18;13
84;1;4;19;20;6;10;8;8
85;14;16;5;11;8;11;18;7
86;18;5;5;7;13;5;10;10
87;20;9;7;1;3;21;13;19
88;4;19;17;15;13;9;6;5
89;25;2;14;13;12;7;14;3
90;13;14;9;15;15;12;14;8
91;13;18;7;14;21;21;18;6
92;6;11;6;6;19;12;17;4
93;13;4;11;20;21;11;15;19
94;7;1;17;11;1;15;25;10
95;14;6;7;3;10;9;7;1
96;1;19;1;6;16;8;6;19
97;13;5;11;4;5;19;8;6
98;2;6;7;10;1;1;19;8
99;3;10;9;2;8;1;3;10
100;18;12;10;20;8;11;13;17
101;1;13;4;20;19;10;4;6
102;4;25;6;6;13;7;13;8
103;12;21;17;16;8;3;8;20
104;7;17;2;20;13;4;17;25
105;2;3;20;17;7;3;16;14
106;12;11;15;9;5;9;15;10
107;6;17;25;2;13;14;11;13
108;12;9;7;7;6;14;13;13
109;16;9;9;14;9;13;17;13
110;4;21;18;19;6;10;6;4
111;6;6;5;9;7;6;20;25
112;11;25;2;1;18;11;16;13
113;25;13;16;15;19;15;19;18
114;25;9;13;19;13;4;14;13
115;20;6;6;21;25;19;19;12
116;25;13;15;21;8;14;25;13
117;19;6;17;2;11;15;16;13
118;9;7;9;19;11;20;25;17
119;1;10;20;19;16;1;6;11
120;15;19;20;12;21;8;25;5
121;15;16;19;8;4;21;20;19
122;13;12;1;15;9;20;17;5
123;16;14;21;7;3;17;13;15
124;4;8;21;12;25;3;15;13
125;21;19;21;16;10;21;15;16
126;6;6;15;2;10;20;17;21
127;13;16;2;9;7;5;6;14
128;10;5;10;20;9;18;20;14
129;2;2;8;7;18;8;14;19
130;25;6;14;18;3;9;14;20
131;15;6;12;13;20;4;12;20
132;25;6;14;20;10;2;6;14
133;3;21;9;14;20;2;8;6
134;17;5;15;11;12;16;1;14
135;7;9;16;10;18;5;21;10
136;12;11;16;12;12;2;12;10
137;7;8;1;9;4;16;1;15
138;8;16;18;10;19;20;6;10
139;2;11;7;2;5;16;15;4
140;6;3;17;6;20;18;13;25
141;17;12;13;11;13;14;8;18
142;25;6;5;13;20;6;20;14
143;11;5;19;17;21;8;25;10
144;13;20;17;9;4;1;17;2
145;11;25;1;10;11;2;13;20
146;20;25;8;20;2;6;1;13
147;17;1;25;8;5;13;12;1
148;10;15;15;10;13;6;25;6
149;9;13;9;14;15;17;21;20
150;7;17;7;8;25;18;2;20
151;6;16;13;8;6;1;18;18
152;9;20;7;7;4;9;6;13
153;9;13;12;21;21;5;25;9
